budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,converted
200000,76,38,19,6,1,1,67,1
100000,48,0,1,3,0,1,44,0
300000,52,13,0,2,0,0,11,0
300000,80,25,19,2,0,0,60,0
100000,76,34,15,5,1,1,3,0
750000,51,27,3,4,1,1,36,1
300000,25,30,8,5,1,0,19,1
2000000,76,34,13,5,0,0,64,1
500000,63,20,15,2,0,0,19,1
1000000,81,6,20,1,1,0,16,1
2000000,51,8,18,5,1,1,12,1
750000,3,25,8,1,0,1,15,0
500000,89,35,4,6,1,0,45,1
750000,74,18,9,4,1,1,19,1
300000,82,28,3,4,1,1,9,0
300000,67,47,0,5,1,1,57,0
5000000,2,31,14,1,1,1,39,0
100000,33,46,20,6,0,1,2,0
500000,12,34,19,2,1,0,9,1
5000000,65,28,17,1,0,0,28,1
2000000,64,31,11,2,1,1,58,1
2000000,74,48,1,1,1,1,55,1
300000,25,35,3,1,1,1,14,1
200000,85,46,5,5,0,1,10,0
5000000,79,26,5,3,1,1,9,1
500000,9,50,14,2,1,0,43,1
300000,29,14,20,3,1,1,33,1
300000,85,32,2,1,1,1,8,0
200000,75,21,1,5,1,0,31,0
1000000,63,15,3,4,0,1,27,0
2000000,9,50,6,6,1,1,38,1
750000,85,38,3,2,1,0,49,1
750000,66,36,20,4,0,0,38,0
750000,4,36,4,1,0,0,45,1
300000,15,7,9,6,1,0,40,0
750000,13,3,5,6,0,0,31,1
100000,13,41,14,5,0,0,3,1
300000,55,27,2,1,1,0,66,0
200000,62,13,1,5,1,0,5,0
2000000,63,42,20,5,0,0,16,1
300000,32,46,20,5,0,1,40,0
1000000,73,38,16,1,0,0,31,1
300000,44,10,15,6,0,1,54,0
100000,79,9,20,3,1,0,8,0
300000,25,2,2,2,1,0,52,0
5000000,0,13,20,3,1,1,72,1
2000000,16,41,6,4,1,0,59,1
1000000,61,44,10,4,0,0,34,1
300000,53,28,19,6,1,0,65,0
100000,76,22,0,6,0,1,18,0
500000,45,47,19,6,1,0,16,1
200000,45,2,12,3,0,1,21,0
750000,24,21,14,5,0,0,17,1
1000000,83,0,7,2,1,0,33,1
500000,39,15,4,3,1,0,38,1
100000,80,26,14,1,0,0,12,0
500000,78,9,12,4,0,0,49,0
100000,67,17,7,6,0,0,31,0
1000000,38,37,17,3,1,1,67,0
1000000,51,42,6,6,1,0,28,1
750000,7,41,12,5,0,1,16,0
750000,88,10,4,2,0,1,24,1
200000,24,34,15,5,1,1,53,1
500000,56,13,10,3,1,0,10,1
500000,33,31,7,1,0,0,46,1
500000,6,14,2,3,0,1,0,1
500000,12,13,20,4,0,0,24,1
200000,59,6,9,1,1,0,52,0
5000000,13,0,14,1,0,0,26,1
1000000,33,8,15,4,1,1,6,1
100000,55,22,2,6,0,1,46,0
750000,79,8,2,6,1,0,5,0
200000,43,48,13,4,1,1,35,1
500000,86,16,18,6,1,1,28,1
500000,54,25,10,6,0,0,36,0
5000000,59,19,18,4,0,1,35,1
2000000,84,46,0,2,1,0,71,1
500000,83,48,14,5,0,0,5,1
200000,68,6,18,3,0,0,67,0
1000000,69,38,2,5,1,1,18,1
200000,50,10,7,2,1,0,56,1
2000000,36,21,19,6,0,0,3,1
750000,71,36,10,5,1,0,31,1
500000,47,49,17,1,1,1,30,0
1000000,77,4,12,1,1,1,28,0
5000000,90,18,8,3,0,0,19,0
1000000,85,30,1,6,0,1,27,0
500000,58,41,10,4,0,1,13,0
300000,44,17,2,3,0,0,45,0
1000000,7,36,0,2,1,1,66,1
1000000,13,23,0,6,0,1,59,1
750000,18,31,3,3,0,1,14,1
1000000,90,36,12,6,1,0,21,0
5000000,8,17,4,1,1,0,19,0
750000,21,34,15,4,0,1,39,1
200000,60,35,1,1,1,0,5,0
5000000,34,8,7,5,1,1,48,0
750000,26,25,9,2,1,1,32,1
300000,43,26,6,1,1,0,72,1
100000,87,35,12,3,0,1,2,0
300000,27,18,6,6,0,0,13,1
750000,16,30,20,4,1,0,21,0
5000000,20,40,6,1,1,1,70,1
1000000,69,10,4,2,1,0,67,1
500000,63,20,14,6,0,1,38,0
300000,16,28,0,4,1,0,62,1
2000000,29,37,5,1,1,1,7,1
1000000,66,31,18,3,0,1,44,1
500000,19,41,6,3,0,0,18,1
100000,11,3,9,2,1,0,12,1
5000000,16,6,5,1,1,0,6,1
5000000,11,45,3,2,0,1,61,1
200000,31,33,1,5,1,0,59,0
200000,28,44,10,2,0,0,54,0
750000,62,45,8,2,1,1,21,1
300000,35,46,18,4,1,0,25,0
750000,89,28,17,6,1,0,16,0
100000,14,4,20,3,0,0,35,0
100000,51,15,2,2,1,0,62,0
500000,1,25,14,5,1,1,38,1
100000,53,21,10,6,1,1,48,1
750000,6,24,15,5,1,0,29,1
100000,82,22,2,1,1,0,13,0
200000,12,2,14,3,1,1,53,1
1000000,5,15,7,3,1,0,50,1
300000,30,35,14,6,1,1,40,1
300000,82,23,10,4,0,1,17,0
100000,11,31,17,4,1,0,17,1
500000,57,0,18,1,0,0,25,0
1000000,75,21,2,2,1,1,30,1
100000,48,4,9,4,1,0,63,0
100000,60,10,14,6,0,1,5,0
300000,78,1,15,6,0,0,1,0
5000000,38,49,15,4,0,1,42,0
750000,87,41,13,6,1,1,16,0
750000,18,24,8,3,1,0,34,1
300000,88,1,6,3,1,0,50,0
2000000,25,3,15,1,0,0,33,1
2000000,48,14,15,2,0,0,58,1
100000,28,1,11,5,1,1,62,1
1000000,64,31,9,2,0,0,19,1
750000,41,3,5,5,1,1,11,1
5000000,43,44,5,2,0,0,57,0
2000000,24,41,0,6,0,1,15,1
5000000,3,39,3,3,0,1,69,0
1000000,58,27,4,2,1,1,2,1
200000,11,17,11,5,1,0,26,1
200000,39,31,14,4,0,0,68,0
200000,42,13,3,6,0,0,31,0
1000000,60,16,12,5,1,1,32,1
750000,26,24,7,4,0,1,10,1
5000000,73,1,11,6,0,1,23,0
750000,69,50,19,5,1,1,44,0
300000,45,43,18,3,1,1,33,0
5000000,58,40,16,2,0,0,43,1
300000,27,44,5,1,0,1,9,1
750000,12,46,9,1,0,1,56,1
5000000,2,39,20,5,1,0,8,0
750000,74,22,8,2,0,0,44,1
100000,70,7,17,6,1,1,70,0
750000,13,12,9,4,0,0,42,0
1000000,59,37,7,4,1,0,64,1
2000000,11,3,18,3,0,1,45,0
300000,54,15,2,1,0,0,0,0
5000000,22,14,15,6,1,0,56,0
5000000,90,43,20,5,0,1,32,0
2000000,58,0,11,6,1,1,27,1
100000,4,12,3,3,1,1,14,1
300000,33,47,6,6,0,0,45,0
100000,28,33,10,4,0,0,57,0
500000,17,36,14,2,1,0,56,1
200000,32,49,0,2,1,1,10,0
750000,7,10,5,5,0,0,59,1
500000,90,19,8,1,1,1,38,1
100000,47,18,15,6,0,1,48,0
1000000,19,48,0,6,0,0,66,1
750000,22,41,20,3,0,0,3,0
200000,27,25,8,2,0,1,29,0
5000000,70,7,14,2,0,1,18,0
1000000,60,16,15,6,1,1,32,0
300000,7,1,19,3,1,1,48,1
2000000,58,41,1,6,0,0,16,0
5000000,9,36,6,6,0,0,61,1
100000,15,29,12,6,0,1,44,1
2000000,4,16,5,3,0,1,39,0
200000,80,42,9,1,0,0,44,0
750000,23,26,1,5,1,0,42,1
1000000,87,37,16,6,0,0,63,0
300000,70,38,6,5,1,0,64,1
2000000,53,36,12,4,0,1,43,1
2000000,84,44,17,3,0,0,11,1
300000,23,34,7,3,0,0,62,1
100000,32,39,15,4,0,1,0,0
750000,10,12,16,5,1,0,33,1
2000000,80,39,0,1,1,0,53,1
100000,5,26,17,2,1,1,65,1
500000,66,26,6,4,0,1,13,0
500000,86,46,20,5,0,1,23,1
750000,9,31,6,6,0,1,10,1
750000,1,18,5,2,0,0,57,1
100000,67,47,9,5,1,0,54,1
750000,44,8,10,3,0,0,60,0
300000,90,44,2,2,1,1,9,0
300000,61,39,16,1,1,1,50,0
1000000,58,25,7,1,0,1,53,1
100000,65,36,0,2,0,0,37,0
500000,46,45,10,1,0,1,64,1
750000,31,0,5,6,0,1,28,0
750000,70,42,1,4,0,1,46,0
2000000,71,43,2,4,1,1,2,1
750000,16,22,15,5,0,1,36,1
300000,11,7,11,1,0,1,43,0
5000000,5,30,14,3,0,1,7,1
200000,90,1,11,4,0,0,29,0
2000000,82,47,4,5,1,0,35,0
2000000,22,16,14,3,1,1,44,0
750000,67,49,7,2,1,0,53,1
2000000,47,36,4,5,1,1,33,1
1000000,70,40,12,3,1,0,48,0
500000,64,6,10,2,1,0,27,1
1000000,17,17,11,4,1,0,42,1
200000,53,21,17,3,0,1,24,0
2000000,71,40,11,4,0,1,47,1
200000,75,43,20,6,0,1,3,0
5000000,77,27,15,6,0,0,28,1
500000,65,29,4,4,0,0,46,0
1000000,5,39,7,6,0,1,40,1
750000,51,6,18,6,0,0,61,0
1000000,54,21,1,5,1,1,64,1
5000000,62,35,18,6,1,0,42,1
300000,63,37,17,3,0,1,57,0
5000000,48,11,0,5,1,1,1,1
2000000,78,45,4,2,0,1,5,1
300000,6,5,16,1,0,0,67,0
300000,61,23,1,6,0,0,64,0
2000000,27,9,8,6,0,0,70,0
1000000,4,50,15,2,1,0,1,0
750000,51,40,0,1,1,1,47,1
750000,46,6,15,4,0,1,28,0
200000,83,9,2,5,1,1,28,0
1000000,69,38,1,4,0,1,41,0
2000000,22,16,10,6,1,1,39,1
1000000,85,6,15,4,0,0,31,0
1000000,65,2,19,1,1,1,41,0
2000000,30,40,1,6,0,0,2,0
200000,12,10,0,3,0,0,52,0
200000,71,27,2,4,0,0,3,0
300000,51,17,13,2,0,1,31,0
300000,25,1,1,4,1,1,31,0
200000,80,3,7,6,1,0,70,0
200000,6,13,18,3,1,0,59,1
300000,9,26,9,2,0,0,28,1
2000000,44,31,4,5,1,0,35,1
1000000,7,48,0,4,0,0,9,1
200000,61,17,0,3,1,0,41,0
750000,4,49,11,3,1,1,11,1
750000,21,0,17,4,0,1,67,0
300000,30,42,3,5,0,1,31,1
2000000,59,39,18,1,1,1,0,1
750000,62,5,10,6,1,1,8,1
100000,5,31,2,5,0,0,65,0
300000,86,18,17,6,0,1,0,0
5000000,31,47,5,3,0,0,42,1
500000,22,44,11,2,0,1,2,1
5000000,3,38,14,1,1,1,23,1
200000,60,44,6,1,0,1,66,0
2000000,64,39,20,5,0,0,23,1
200000,71,37,5,2,1,1,45,0
500000,9,15,19,1,1,0,36,0
750000,65,3,19,2,0,1,42,0
200000,29,17,15,5,1,0,41,1
5000000,10,45,11,2,1,1,59,1
100000,21,11,18,3,0,0,47,0
200000,77,9,6,6,1,0,55,0
1000000,55,18,13,4,0,1,39,1
300000,59,15,15,2,1,1,34,1
300000,74,28,8,1,1,0,47,1
200000,64,50,7,1,1,1,47,1
1000000,74,49,14,4,1,1,66,0
1000000,6,37,1,5,0,0,48,1
300000,74,37,9,3,1,0,22,1
750000,56,36,18,2,0,1,21,0
500000,89,39,12,6,1,1,60,1
500000,62,41,3,4,0,0,61,0
5000000,80,35,19,3,0,1,37,1
1000000,32,21,0,1,1,0,59,1
2000000,12,1,10,4,0,1,57,1
200000,62,26,5,3,0,0,5,0
1000000,39,37,0,4,0,1,64,0
5000000,27,29,7,1,1,0,19,1
5000000,88,46,18,2,1,1,52,1
1000000,2,20,16,2,1,0,27,1
1000000,30,50,11,5,0,1,35,0
500000,16,21,8,1,1,0,37,0
500000,8,44,13,4,0,0,66,0
1000000,24,10,14,3,0,1,33,1
2000000,37,26,0,5,0,0,19,0
1000000,78,8,5,4,1,0,53,1
2000000,49,0,15,6,0,0,15,0
100000,87,27,15,6,1,1,36,1
1000000,87,16,3,2,1,1,55,1
300000,33,3,19,4,0,0,45,0
1000000,89,20,7,6,0,1,2,0
2000000,23,18,11,2,0,0,10,0
2000000,58,7,0,5,0,0,15,0
5000000,3,49,19,6,1,0,23,1
200000,83,16,12,5,0,0,15,0
750000,39,9,9,1,0,1,67,0
500000,73,50,18,6,0,1,9,1
200000,12,9,4,2,1,0,14,1
5000000,86,31,15,5,0,0,49,0
1000000,26,47,14,5,0,0,36,1
5000000,77,32,19,5,0,1,18,1
2000000,80,3,3,1,1,1,68,0
300000,7,43,3,4,1,1,12,0
750000,77,19,12,4,1,1,27,1
1000000,72,8,3,2,0,1,61,0
300000,80,1,12,2,1,1,3,0
500000,56,11,12,5,0,1,49,1
100000,1,42,16,6,0,1,8,1
200000,25,32,13,2,0,0,58,1
500000,5,0,18,3,1,0,5,1
100000,6,9,20,2,1,0,30,1
750000,83,15,17,3,1,0,2,0
100000,26,42,7,4,1,1,4,1
500000,20,48,17,6,1,0,9,1
2000000,53,41,0,1,1,1,23,1
300000,15,39,3,6,1,1,53,0
500000,51,20,11,2,1,1,29,1
1000000,55,15,2,2,1,1,11,1
1000000,41,17,8,2,0,1,35,1
2000000,79,43,5,6,0,0,15,0
2000000,27,32,18,4,0,0,35,1
500000,61,16,8,6,1,0,3,0
750000,77,34,2,2,0,1,48,0
300000,20,48,18,3,0,0,70,1
300000,16,20,20,3,1,1,51,0
300000,14,17,16,6,0,0,17,1
300000,44,25,14,3,1,0,29,1
300000,26,2,7,4,0,1,31,0
300000,42,1,17,3,1,1,55,0
5000000,74,23,1,3,0,1,60,0
1000000,23,27,18,3,0,0,17,1
200000,25,38,7,6,1,1,67,1
5000000,29,33,13,2,0,1,39,1
750000,77,34,19,6,0,0,70,1
100000,11,9,18,1,1,1,2,1
2000000,9,47,13,1,0,1,5,0
300000,40,18,17,6,1,0,22,1
300000,38,33,3,3,0,1,58,0
5000000,80,1,8,5,1,0,65,1
2000000,60,46,11,4,1,0,14,1
2000000,69,30,18,4,0,0,45,0
5000000,61,42,2,6,0,0,2,0
300000,13,14,8,6,1,0,37,1
2000000,59,4,20,4,0,0,66,0
300000,88,12,16,3,1,1,26,1
1000000,65,33,5,1,0,0,66,1
500000,38,43,16,6,0,1,57,1
200000,77,29,8,4,0,1,11,0
1000000,68,27,20,1,1,1,19,1
1000000,1,42,8,3,0,1,49,1
100000,65,5,20,1,1,0,16,0
300000,33,6,9,4,1,1,27,0
2000000,14,41,19,3,0,0,60,0
2000000,56,15,18,4,1,1,28,0
100000,80,7,1,6,0,0,13,0
500000,32,9,3,5,1,1,45,0
100000,49,23,3,4,1,0,48,1
5000000,21,49,8,6,1,0,7,1
750000,24,44,17,5,1,1,13,1
500000,77,28,1,5,1,1,30,1
100000,59,41,9,5,0,0,46,0
200000,23,25,14,4,0,1,1,1
750000,23,8,14,4,0,0,32,0
500000,28,10,10,5,1,1,48,1
1000000,65,36,10,2,0,0,38,1
5000000,52,1,4,1,0,1,19,0
500000,76,7,17,5,1,1,58,1
5000000,56,27,8,1,0,0,14,0
100000,54,48,3,3,0,0,69,0
500000,35,22,9,1,1,0,59,1
5000000,79,17,4,5,1,1,34,1
200000,15,26,7,5,0,1,51,1
500000,78,31,11,4,0,0,51,1
100000,40,6,14,6,0,1,55,0
2000000,59,13,16,4,0,1,13,1
5000000,25,14,16,5,0,0,64,1
1000000,26,46,16,6,0,1,62,0
750000,88,42,0,2,0,0,11,0
100000,48,38,15,6,1,1,65,0
100000,59,34,7,2,0,0,26,0
100000,87,14,16,3,0,0,13,0
500000,44,21,8,4,1,1,55,1
300000,31,21,20,5,1,1,6,1
100000,16,20,0,2,1,1,26,1
750000,76,28,13,4,1,0,24,1
750000,59,41,3,2,0,0,50,1
500000,65,6,4,5,1,0,44,1
500000,8,45,17,1,1,1,40,0
750000,63,35,7,3,0,1,38,1
5000000,72,22,12,2,0,0,64,1
200000,77,39,19,6,1,1,64,1
1000000,36,9,18,3,0,0,24,0
750000,20,21,9,4,0,1,71,1
300000,19,47,14,4,0,1,2,1
100000,32,28,14,3,0,0,31,0
2000000,53,8,20,6,0,0,21,0
1000000,21,41,5,4,1,0,16,0
2000000,36,28,17,3,0,0,7,1
300000,80,4,1,1,0,0,65,0
100000,13,24,20,2,0,1,69,1
200000,63,20,7,4,1,0,47,1
5000000,39,26,11,3,1,0,71,1
5000000,38,33,1,6,0,0,19,0
200000,12,8,6,4,1,1,17,1
1000000,75,4,10,6,1,1,54,1
100000,81,4,19,6,1,0,7,0
100000,32,9,19,1,0,1,1,0
200000,7,2,9,3,1,1,37,1
200000,17,46,20,5,1,1,27,0
200000,34,26,20,6,0,1,53,0
750000,70,29,20,1,1,0,45,1
500000,37,11,15,4,0,1,21,1
100000,78,46,12,6,0,1,54,0
5000000,22,19,7,6,0,1,50,0
5000000,15,4,4,1,0,0,54,1
200000,20,14,15,1,0,0,15,0
100000,82,28,11,2,0,0,66,0
100000,86,44,0,3,0,1,14,0
500000,44,45,16,2,1,1,44,1
500000,7,34,5,4,1,1,21,1
2000000,77,30,9,3,0,1,19,1
2000000,30,20,10,6,1,0,40,1
100000,55,46,7,3,1,1,63,1
1000000,24,44,1,5,0,0,26,0
750000,32,11,12,3,0,1,36,1
2000000,33,28,7,4,1,1,45,1
2000000,8,0,0,3,1,1,63,1
2000000,30,13,6,4,1,1,0,1
300000,51,22,6,5,1,0,67,1
200000,7,31,1,3,1,0,45,0
1000000,79,50,10,4,1,1,60,0
500000,87,38,13,5,0,0,36,1
2000000,52,27,4,3,1,0,59,1
5000000,55,5,6,6,0,0,50,0
300000,4,37,20,3,0,1,25,1
750000,45,38,11,2,0,1,62,0
5000000,1,2,6,1,0,1,57,1
200000,80,22,11,3,0,0,49,0
1000000,60,7,13,3,1,1,48,1
750000,45,11,12,5,0,0,9,1
1000000,20,12,2,1,1,1,37,1
1000000,90,46,15,6,1,0,36,1
5000000,66,40,19,3,0,1,70,1
750000,22,23,7,2,0,1,58,1
100000,41,25,7,6,1,0,71,0
1000000,15,3,17,6,1,1,2,1
1000000,85,17,20,5,0,0,30,1
5000000,50,26,14,6,0,1,30,0
300000,56,28,9,5,0,0,38,0
200000,44,13,7,5,0,0,43,0
2000000,49,45,14,4,1,0,43,1
100000,35,18,19,3,0,1,71,0
750000,4,40,16,5,0,1,46,1
1000000,66,29,4,3,1,0,32,0
2000000,17,46,8,3,1,1,37,0
2000000,74,32,9,5,1,1,45,1
300000,29,5,0,5,0,1,54,0
1000000,75,14,5,4,0,1,41,1
500000,33,34,14,4,0,0,60,1
5000000,20,20,12,5,1,0,1,1
1000000,26,7,17,4,1,1,42,1
2000000,90,40,1,4,1,0,17,0
200000,80,44,9,6,0,0,60,0
300000,20,43,4,5,1,0,35,1
200000,15,23,15,5,1,1,44,1
2000000,5,10,17,2,0,0,61,1
750000,20,23,20,2,0,0,66,1
500000,46,31,1,3,1,1,47,1
1000000,43,12,4,5,1,0,11,1
1000000,73,9,20,5,1,1,46,1
1000000,71,19,10,4,0,0,26,1
100000,26,44,14,5,1,1,62,1
1000000,25,37,20,4,0,0,61,1
750000,75,49,6,2,1,1,17,1
500000,11,45,1,1,1,0,41,1
100000,51,14,9,3,1,1,67,1
1000000,57,22,0,2,1,1,7,1
500000,65,11,9,3,0,1,72,1
100000,49,40,16,3,1,1,11,0
100000,38,31,7,1,0,0,11,0
200000,0,16,15,1,1,0,0,0
200000,54,20,4,5,1,0,57,1
750000,26,32,11,3,1,1,42,1
5000000,75,31,6,6,1,0,55,0
1000000,37,45,7,4,0,1,11,1
300000,46,27,20,2,0,1,56,0
1000000,65,12,8,5,1,1,10,1
500000,82,20,11,1,0,1,3,1
300000,48,31,4,3,1,1,43,1
5000000,3,28,15,5,1,0,58,1
5000000,34,32,19,5,1,0,13,1
200000,22,0,12,4,0,0,22,0
300000,67,21,3,5,0,1,50,0
500000,6,44,18,5,0,1,58,1
1000000,9,22,7,3,1,0,28,0
750000,55,38,0,6,1,1,56,1
100000,53,28,12,2,1,0,39,1
750000,59,28,5,3,1,0,48,0
300000,0,48,15,2,0,0,1,1
750000,70,33,7,5,0,0,43,1
1000000,53,34,7,4,0,1,38,1
300000,21,27,0,5,1,1,59,1
100000,82,32,20,2,1,1,12,1
200000,70,17,7,1,0,0,63,0
100000,13,27,12,4,1,0,60,0
500000,70,11,6,2,1,0,42,1
5000000,26,13,3,3,0,0,39,1
2000000,19,2,19,1,0,0,27,1
1000000,50,3,3,5,0,0,41,0
5000000,1,7,4,1,1,1,28,1
2000000,2,17,19,1,0,0,50,1
500000,84,38,12,6,0,0,15,1
1000000,34,33,10,6,0,1,24,0
5000000,55,7,6,3,0,1,54,0
200000,65,34,8,2,1,0,31,1
500000,16,24,4,5,0,0,28,0
5000000,68,7,16,1,0,0,8,0
100000,79,34,14,3,1,0,12,1
200000,18,35,13,2,0,1,37,1
2000000,24,50,8,2,0,1,15,1
300000,51,16,5,2,1,0,52,0
2000000,4,17,1,6,1,0,44,1
1000000,72,2,14,4,1,0,65,1
500000,6,37,6,6,0,1,71,0
200000,85,28,10,5,1,0,29,1
1000000,62,0,8,6,0,1,58,0
2000000,55,41,7,4,1,1,39,0
500000,46,31,19,3,1,1,72,1
200000,90,2,1,1,1,1,47,0
2000000,56,9,17,5,0,1,38,0
200000,70,5,14,1,0,0,36,0
300000,38,33,11,4,0,0,71,0
500000,21,1,2,1,0,0,0,0
100000,86,10,20,6,0,1,71,0
500000,78,19,3,4,1,1,12,1
300000,66,48,14,3,0,0,25,0
100000,8,30,4,6,0,1,28,1
500000,64,44,4,3,1,0,70,1
500000,6,13,13,3,1,1,51,1
750000,86,44,10,3,0,1,2,1
100000,47,42,10,2,0,0,8,0
1000000,5,30,18,1,0,1,11,1
500000,6,32,3,1,1,0,35,1
100000,76,29,13,3,1,1,47,1
2000000,40,7,2,5,1,0,2,0
100000,41,27,19,6,1,0,21,1
750000,8,28,18,2,0,1,66,1
1000000,61,0,16,4,1,1,47,1
200000,59,40,8,2,1,1,24,1
300000,37,36,12,5,1,0,72,1
5000000,47,41,3,5,0,1,62,0
500000,5,21,20,5,1,0,70,1
5000000,36,44,10,2,0,0,19,1
1000000,38,45,16,3,0,0,72,1
2000000,54,50,18,2,1,1,65,1
1000000,61,30,12,1,0,0,35,1
750000,28,25,11,5,1,0,26,1
5000000,29,22,12,2,0,1,12,1
750000,78,31,9,4,0,0,72,1
5000000,75,40,20,4,0,1,42,0
100000,29,23,7,1,0,1,19,1
200000,87,9,1,5,0,1,28,0
500000,84,10,2,5,0,0,51,0
750000,26,50,7,2,0,1,2,1
100000,21,34,15,4,1,0,19,1
100000,79,3,0,2,1,1,57,0
750000,24,29,14,6,1,1,51,1
2000000,21,29,2,2,1,0,29,1
100000,33,47,17,4,1,1,22,1
200000,18,25,2,2,0,0,57,0
2000000,55,4,13,4,0,1,50,0
5000000,10,22,5,3,1,1,2,1
750000,17,0,1,4,1,1,59,1
750000,40,12,12,4,0,0,4,1
200000,45,18,10,2,1,1,19,0
750000,18,17,20,6,0,0,1,0
100000,36,11,19,2,0,0,58,0
2000000,8,25,5,5,1,0,53,1
5000000,68,42,1,6,0,0,28,0
200000,14,47,18,3,1,0,3,1
200000,41,48,17,5,0,0,51,0
100000,8,28,6,5,1,1,19,1
200000,19,3,0,5,1,0,12,0
300000,23,2,16,5,1,0,51,1
1000000,20,39,14,4,0,1,23,1
100000,38,50,1,1,0,0,44,0
100000,85,29,5,1,1,0,11,1
500000,20,31,7,2,0,1,66,0
100000,55,18,13,5,1,0,67,0
750000,17,32,3,1,1,0,52,1
200000,89,14,9,3,0,0,11,0
750000,41,10,17,6,0,0,53,1
500000,17,49,15,5,1,0,3,1
300000,83,49,16,2,0,0,56,0
200000,26,24,9,2,1,1,59,1
1000000,74,42,18,1,0,0,28,1
100000,25,49,12,4,0,0,35,1
200000,61,22,18,6,0,1,57,0
500000,88,25,5,4,1,1,43,0
5000000,78,2,4,5,1,1,47,1
300000,48,24,8,5,1,0,51,0
2000000,23,3,0,4,0,1,4,0
2000000,42,20,15,1,0,0,61,1
200000,17,27,12,6,0,0,0,1
100000,35,9,20,3,1,0,21,0
1000000,88,3,15,2,1,0,56,1
2000000,84,31,13,5,1,0,8,1
2000000,35,14,18,4,0,1,71,1
2000000,54,42,13,6,1,0,52,0
5000000,82,2,9,5,1,1,13,1
5000000,87,1,18,6,0,1,5,0
2000000,67,24,8,3,1,0,27,1
200000,57,45,9,1,1,0,36,1
2000000,49,35,18,6,1,1,22,1
300000,54,31,18,3,0,0,14,0
2000000,28,26,20,6,1,0,44,0
5000000,49,21,2,4,0,0,1,0
2000000,74,7,15,1,1,1,54,0
200000,41,9,19,6,1,1,27,0
1000000,41,48,14,5,1,0,32,0
200000,66,22,19,4,1,0,27,0
100000,23,7,10,6,0,1,53,0
100000,0,48,6,4,0,1,45,1
2000000,50,44,2,5,1,1,70,1
750000,90,43,19,4,0,1,10,1
200000,3,21,19,6,0,0,15,0
2000000,77,39,10,2,1,0,18,1
5000000,44,2,8,6,0,0,65,0
750000,38,5,16,2,0,0,8,0
2000000,65,10,11,5,1,1,31,1
100000,27,27,3,4,0,1,34,1
5000000,2,46,20,6,0,0,20,1
1000000,14,38,13,1,0,0,28,0
100000,12,19,14,1,0,0,55,1
1000000,76,48,4,1,0,1,37,1
5000000,19,47,19,4,0,0,6,1
1000000,76,17,14,1,0,1,44,1
2000000,90,38,14,4,1,0,38,0
100000,68,18,10,4,0,1,56,0
1000000,28,34,1,6,1,1,18,0
100000,19,4,18,4,0,1,34,0
500000,55,11,19,3,1,0,43,1
200000,64,49,9,5,1,1,28,1
200000,42,35,9,4,1,0,29,1
300000,80,18,12,1,0,1,28,0
750000,65,1,0,5,1,0,36,0
100000,61,22,8,1,0,0,30,0
300000,70,50,0,5,1,0,27,0
5000000,45,34,13,4,1,1,70,0
750000,53,40,16,6,1,1,59,1
1000000,54,1,3,5,0,1,71,0
500000,31,13,16,3,0,1,49,1
1000000,3,43,6,1,0,0,9,1
1000000,83,30,10,5,0,1,39,1
1000000,73,20,14,4,1,0,67,1
100000,74,35,20,3,0,0,2,0
2000000,85,16,18,2,0,0,12,1
300000,80,49,14,5,1,0,57,1
300000,3,3,11,5,0,1,70,0
500000,2,11,18,6,1,1,30,0
2000000,57,44,10,6,0,1,64,1
5000000,16,20,10,3,0,0,28,1
100000,66,12,12,4,1,1,7,1
100000,4,30,3,2,1,0,57,1
100000,82,1,13,5,0,1,48,0
200000,56,1,4,6,1,1,11,0
5000000,5,30,14,2,1,0,45,1
200000,58,13,15,5,1,1,25,0
1000000,49,43,19,2,0,0,18,0
750000,51,46,6,4,1,1,62,1
5000000,87,20,20,5,0,1,53,1
200000,64,21,12,6,1,0,17,0
300000,3,36,19,6,0,1,61,1
1000000,1,31,13,5,0,0,4,1
2000000,33,47,20,3,1,0,70,1
750000,83,40,16,6,0,1,27,1
500000,33,28,10,2,1,0,65,1
2000000,84,48,3,3,1,1,71,1
2000000,72,1,14,5,1,0,23,1
2000000,73,40,8,4,1,1,37,1
200000,75,16,17,3,1,0,57,1
2000000,66,10,14,1,1,0,11,1
2000000,7,44,19,3,0,0,3,1
500000,13,11,8,4,1,0,52,1
500000,73,23,2,1,0,1,18,0
100000,48,22,10,5,1,1,50,1
200000,22,50,7,3,1,1,26,1
100000,49,7,15,5,1,1,66,0
1000000,4,29,4,2,1,0,0,0
5000000,71,26,12,6,1,0,18,1
2000000,6,10,15,2,1,1,69,1
2000000,61,21,18,1,0,0,37,1
500000,45,3,20,6,1,1,52,0
1000000,45,2,20,1,1,0,20,1
2000000,82,5,10,4,1,1,66,1
2000000,32,22,10,1,1,0,13,1
5000000,57,30,16,1,1,1,69,1
5000000,8,23,10,3,1,1,67,1
1000000,88,47,10,1,0,1,5,1
750000,38,15,20,5,1,1,29,1
500000,61,3,3,6,0,1,30,0
300000,52,24,1,4,1,1,63,0
500000,88,12,11,4,1,0,15,0
5000000,62,45,5,6,1,1,36,0
300000,76,11,13,6,1,0,3,0
100000,50,2,7,6,0,1,33,0
500000,31,37,7,1,0,1,31,1
750000,53,38,4,1,0,0,61,0
