budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,buyer_readiness_score,engagement_score,speed_penalty,converted
5000000,51,17,18,4,0,0,67,30,44.0,93.05555555555556,1
1000000,11,14,9,4,0,1,58,60,47.5,80.55555555555556,1
2000000,21,35,16,6,0,1,66,60,79.0,91.66666666666666,1
200000,86,9,1,1,1,1,16,40,30.5,22.22222222222222,0
200000,22,7,13,4,0,1,72,30,46.5,100.0,0
2000000,48,16,7,1,1,1,41,70,46.5,56.94444444444444,1
1000000,51,10,1,4,0,0,63,30,11.5,87.5,0
750000,44,34,13,4,1,0,35,70,53.5,48.61111111111111,1
1000000,1,1,16,6,1,0,17,100,25.0,23.61111111111111,1
5000000,7,36,0,1,0,0,37,60,36.0,51.388888888888886,1
2000000,50,24,8,5,0,1,42,30,56.0,58.333333333333336,1
300000,26,1,3,1,0,1,54,30,25.5,75.0,0
5000000,42,40,10,1,1,0,19,70,55.0,26.38888888888889,1
100000,26,2,1,1,0,0,4,30,3.5,5.555555555555555,0
750000,6,43,16,1,0,0,18,60,67.0,25.0,1
1000000,45,33,9,3,0,0,7,30,46.5,9.722222222222223,1
500000,21,40,10,2,1,0,14,100,55.0,19.444444444444446,1
2000000,41,8,1,2,0,1,43,30,29.5,59.72222222222222,0
300000,86,17,20,1,1,0,58,40,47.0,80.55555555555556,1
500000,19,3,17,4,0,1,37,60,48.5,51.388888888888886,1
500000,54,9,20,6,1,1,8,70,59.0,11.11111111111111,0
1000000,55,22,18,2,1,0,60,70,49.0,83.33333333333334,1
750000,74,47,4,3,1,1,4,70,73.0,5.555555555555555,1
300000,37,18,20,4,0,1,69,0,68.0,95.83333333333334,0
5000000,56,9,17,4,0,0,10,30,34.5,13.88888888888889,0
500000,44,40,4,1,0,1,33,30,66.0,45.83333333333333,1
500000,66,30,2,6,1,1,68,70,53.0,94.44444444444444,1
200000,58,35,8,1,0,1,37,0,67.0,51.388888888888886,0
500000,51,5,7,1,0,1,12,30,35.5,16.666666666666664,0
100000,78,23,9,4,1,1,4,40,56.5,5.555555555555555,1
500000,33,18,17,2,0,0,36,30,43.5,50.0,0
300000,90,49,10,5,1,0,35,40,64.0,48.61111111111111,1
750000,55,21,11,4,0,0,0,30,37.5,0.0,1
300000,61,38,0,1,1,0,0,40,38.0,0.0,0
2000000,63,35,1,2,0,0,16,30,36.5,22.22222222222222,0
300000,23,14,8,6,1,0,43,70,26.0,59.72222222222222,1
100000,35,12,18,4,0,0,69,0,39.0,95.83333333333334,0
100000,39,8,19,2,1,0,67,40,36.5,93.05555555555556,0
5000000,70,31,12,4,1,0,32,70,49.0,44.44444444444444,0
100000,31,48,7,5,0,1,45,0,78.5,62.5,0
200000,49,7,7,3,1,1,42,40,37.5,58.333333333333336,0
2000000,62,19,11,4,0,0,5,30,35.5,6.944444444444445,1
2000000,44,4,6,6,0,1,37,30,33.0,51.388888888888886,0
200000,64,48,19,3,0,1,29,0,96.5,40.27777777777778,0
500000,39,6,13,4,1,0,11,70,25.5,15.277777777777779,0
100000,25,9,2,6,0,0,63,30,12.0,87.5,0
200000,81,37,14,5,1,1,53,40,78.0,73.61111111111111,1
200000,11,47,1,1,0,0,20,30,48.5,27.77777777777778,0
2000000,84,3,15,6,1,1,15,70,45.5,20.833333333333336,1
2000000,7,30,16,3,0,0,65,60,54.0,90.27777777777779,1
2000000,50,39,5,5,0,1,14,30,66.5,19.444444444444446,1
500000,76,49,1,6,0,1,48,30,70.5,66.66666666666666,0
300000,87,37,6,6,1,1,69,40,66.0,95.83333333333334,1
750000,15,19,13,5,1,1,43,100,58.5,59.72222222222222,1
5000000,63,38,0,5,0,0,22,30,38.0,30.555555555555557,0
500000,87,13,3,5,1,0,22,70,17.5,30.555555555555557,0
100000,50,47,13,2,0,1,50,0,86.5,69.44444444444444,0
2000000,86,35,12,4,1,1,32,70,73.0,44.44444444444444,1
1000000,39,41,5,3,1,0,71,70,48.5,98.61111111111111,1
750000,13,7,9,6,0,1,6,60,40.5,8.333333333333332,0
750000,81,16,5,1,0,1,10,30,43.5,13.88888888888889,1
300000,76,40,4,5,1,0,11,40,46.0,15.277777777777779,1
100000,52,42,3,2,1,0,52,40,46.5,72.22222222222221,1
100000,25,44,13,1,0,0,69,30,63.5,95.83333333333334,1
2000000,57,5,14,6,1,0,38,70,26.0,52.77777777777778,1
100000,1,3,17,5,1,1,45,70,48.5,62.5,0
100000,86,13,18,4,1,0,66,40,40.0,91.66666666666666,1
1000000,87,17,9,3,1,1,59,70,50.5,81.94444444444444,1
300000,63,21,14,6,1,0,44,40,42.0,61.111111111111114,1
2000000,5,5,14,5,1,0,41,100,26.0,56.94444444444444,0
750000,49,6,15,1,0,0,55,30,28.5,76.38888888888889,0
750000,63,15,1,1,1,1,66,70,36.5,91.66666666666666,0
500000,21,36,0,6,0,0,5,60,36.0,6.944444444444445,1
1000000,15,7,17,6,0,1,22,60,52.5,30.555555555555557,0
2000000,63,26,18,2,1,1,32,70,73.0,44.44444444444444,1
200000,61,39,14,5,0,0,14,0,60.0,19.444444444444446,0
100000,41,44,1,4,0,0,67,0,45.5,93.05555555555556,0
750000,66,47,15,5,1,1,58,70,89.5,80.55555555555556,1
750000,22,23,15,5,1,1,56,100,65.5,77.77777777777779,1
5000000,38,28,20,3,1,0,51,70,58.0,70.83333333333334,1
300000,0,45,13,3,1,1,60,70,84.5,83.33333333333334,0
2000000,45,45,20,4,0,1,16,30,95.0,22.22222222222222,1
5000000,21,18,2,1,0,1,69,60,41.0,95.83333333333334,1
750000,22,27,20,4,0,0,59,60,57.0,81.94444444444444,1
100000,56,3,0,3,1,1,21,40,23.0,29.166666666666668,0
750000,38,14,9,3,1,0,21,70,27.5,29.166666666666668,1
300000,48,48,4,4,1,1,48,40,74.0,66.66666666666666,1
100000,8,20,0,2,0,0,38,30,20.0,52.77777777777778,0
5000000,56,41,7,4,0,1,30,30,71.5,41.66666666666667,1
500000,83,14,17,6,1,0,44,70,39.5,61.111111111111114,1
500000,38,19,15,4,1,0,70,70,41.5,97.22222222222221,1
200000,44,36,14,1,0,1,25,0,77.0,34.72222222222222,0
2000000,7,49,16,4,1,0,53,100,73.0,73.61111111111111,1
750000,19,12,2,4,0,0,54,60,15.0,75.0,0
500000,88,23,12,4,1,1,37,70,61.0,51.388888888888886,0
200000,22,30,11,4,1,0,27,70,46.5,37.5,1
300000,38,18,10,5,1,0,51,40,33.0,70.83333333333334,1
200000,87,35,16,3,1,1,38,40,79.0,52.77777777777778,1
300000,67,21,6,3,1,0,55,40,30.0,76.38888888888889,1
300000,16,35,12,6,1,1,28,70,73.0,38.88888888888889,0
100000,2,44,17,6,0,0,7,30,69.5,9.722222222222223,1
5000000,2,23,1,3,0,0,23,60,24.5,31.944444444444443,1
2000000,12,28,15,5,1,0,5,100,50.5,6.944444444444445,0
200000,52,31,16,4,0,1,35,0,75.0,48.61111111111111,0
5000000,75,28,17,2,0,0,21,30,53.5,29.166666666666668,0
500000,12,7,8,5,1,1,36,100,39.0,50.0,0
500000,3,29,11,5,0,1,53,60,65.5,73.61111111111111,0
5000000,59,26,12,5,0,0,53,30,44.0,73.61111111111111,1
2000000,67,46,18,6,1,0,54,70,73.0,75.0,1
2000000,28,30,18,1,0,1,46,60,77.0,63.888888888888886,0
750000,58,18,0,1,0,0,1,30,18.0,1.3888888888888888,0
750000,51,2,2,2,1,1,70,70,25.0,97.22222222222221,0
1000000,32,3,17,1,1,1,42,70,48.5,58.333333333333336,0
5000000,67,2,12,5,0,1,34,30,40.0,47.22222222222222,0
200000,57,40,12,1,1,1,17,40,78.0,23.61111111111111,0
100000,49,34,13,2,1,1,61,40,73.5,84.72222222222221,0
100000,37,25,1,6,1,0,61,40,26.5,84.72222222222221,0
750000,87,14,7,1,1,1,68,70,44.5,94.44444444444444,1
500000,1,29,9,4,1,0,33,100,42.5,45.83333333333333,1
750000,36,31,2,3,0,1,26,30,54.0,36.11111111111111,0
2000000,90,38,10,5,0,1,30,30,73.0,41.66666666666667,1
500000,36,20,7,5,1,0,24,70,30.5,33.33333333333333,1
1000000,11,6,15,4,1,0,40,100,28.5,55.55555555555556,1
100000,70,42,19,2,0,1,33,0,90.5,45.83333333333333,0
200000,17,2,5,6,1,1,15,70,29.5,20.833333333333336,1
100000,19,36,14,1,0,1,56,30,77.0,77.77777777777779,0
300000,17,14,17,5,1,1,51,70,59.5,70.83333333333334,1
300000,80,19,6,1,1,1,67,40,48.0,93.05555555555556,1
1000000,2,20,5,3,0,1,24,60,47.5,33.33333333333333,0
200000,33,11,16,6,1,0,53,40,35.0,73.61111111111111,0
500000,26,8,4,1,1,1,55,100,34.0,76.38888888888889,1
5000000,32,0,14,4,0,0,39,30,21.0,54.166666666666664,0
2000000,74,9,10,5,1,1,58,70,44.0,80.55555555555556,0
750000,40,17,11,5,1,0,40,70,33.5,55.55555555555556,1
5000000,7,45,20,3,0,1,23,60,95.0,31.944444444444443,1
5000000,83,22,14,1,1,0,4,70,43.0,5.555555555555555,1
100000,6,36,18,1,1,0,18,70,63.0,25.0,1
5000000,9,49,15,4,1,1,49,100,91.5,68.05555555555556,1
1000000,5,28,3,3,0,0,25,60,32.5,34.72222222222222,0
300000,54,20,15,2,1,1,40,40,62.5,55.55555555555556,1
2000000,13,37,4,3,1,1,11,100,63.0,15.277777777777779,0
200000,26,31,9,5,0,1,39,30,64.5,54.166666666666664,1
5000000,14,38,17,4,0,1,7,60,83.5,9.722222222222223,1
300000,52,43,20,4,0,0,72,0,73.0,100.0,0
300000,80,23,6,1,1,1,15,40,52.0,20.833333333333336,0
500000,58,6,0,2,1,0,43,70,6.0,59.72222222222222,0
500000,69,49,17,4,0,1,44,30,94.5,61.111111111111114,1
1000000,74,30,1,1,0,0,69,30,31.5,95.83333333333334,0
2000000,8,11,19,6,0,0,24,60,39.5,33.33333333333333,1
200000,89,15,19,1,1,0,1,40,43.5,1.3888888888888888,1
1000000,75,27,7,1,0,0,49,30,37.5,68.05555555555556,0
5000000,87,43,3,4,0,0,60,30,47.5,83.33333333333334,1
5000000,47,11,13,6,0,0,64,30,30.5,88.88888888888889,0
200000,68,28,12,3,0,1,16,0,66.0,22.22222222222222,0
750000,5,7,1,5,0,1,66,60,28.5,91.66666666666666,0
2000000,75,34,19,4,1,1,59,70,82.5,81.94444444444444,1
1000000,21,47,2,4,0,1,6,60,70.0,8.333333333333332,1
2000000,57,19,0,1,0,0,3,30,19.0,4.166666666666666,0
200000,22,39,18,2,0,1,55,30,86.0,76.38888888888889,1
500000,47,43,4,6,1,0,34,70,49.0,47.22222222222222,1
500000,19,19,9,2,1,1,48,100,52.5,66.66666666666666,1
100000,46,50,6,1,1,0,66,40,59.0,91.66666666666666,1
5000000,46,19,10,6,0,1,11,30,54.0,15.277777777777779,1
300000,28,6,16,6,1,1,27,70,50.0,37.5,0
5000000,19,33,4,4,1,1,41,100,59.0,56.94444444444444,1
5000000,5,47,17,5,0,1,18,60,92.5,25.0,1
500000,79,48,17,5,1,0,70,70,73.5,97.22222222222221,1
100000,61,42,0,1,1,0,21,40,42.0,29.166666666666668,0
200000,49,48,14,4,1,0,50,40,69.0,69.44444444444444,0
500000,17,12,14,1,0,1,60,60,53.0,83.33333333333334,1
750000,14,14,18,2,1,1,39,100,61.0,54.166666666666664,1
500000,30,10,3,5,1,1,43,100,34.5,59.72222222222222,1
750000,64,5,18,3,1,0,61,70,32.0,84.72222222222221,1
100000,55,12,3,4,1,0,66,40,16.5,91.66666666666666,1
2000000,41,1,16,3,1,1,4,70,45.0,5.555555555555555,1
300000,50,5,16,5,0,0,21,0,29.0,29.166666666666668,0
750000,48,34,1,4,1,1,14,70,55.5,19.444444444444446,0
200000,31,9,1,6,0,0,37,0,10.5,51.388888888888886,0
100000,63,48,17,2,1,0,16,40,73.5,22.22222222222222,1
200000,54,21,12,5,1,1,63,40,59.0,87.5,1
2000000,4,50,1,3,0,1,2,60,71.5,2.7777777777777777,1
300000,13,22,18,2,1,0,27,70,49.0,37.5,1
500000,58,7,19,3,0,0,23,30,35.5,31.944444444444443,0
2000000,42,48,15,4,1,0,53,70,70.5,73.61111111111111,1
5000000,3,37,15,2,1,1,34,100,79.5,47.22222222222222,1
5000000,79,43,12,6,1,1,39,70,81.0,54.166666666666664,0
100000,23,22,1,1,1,0,9,70,23.5,12.5,1
200000,73,9,10,2,0,1,8,0,44.0,11.11111111111111,0
5000000,15,50,19,3,0,1,71,60,98.5,98.61111111111111,0
200000,57,5,13,1,1,1,31,40,44.5,43.05555555555556,0
5000000,64,17,18,1,0,0,34,30,44.0,47.22222222222222,1
5000000,1,46,9,4,0,0,28,60,59.5,38.88888888888889,1
1000000,89,16,8,5,0,1,68,30,48.0,94.44444444444444,0
1000000,89,34,15,5,1,0,28,70,56.5,38.88888888888889,1
300000,7,49,5,5,0,1,46,30,76.5,63.888888888888886,1
1000000,45,5,6,2,0,1,41,30,34.0,56.94444444444444,0
500000,38,17,14,4,1,1,1,70,58.0,1.3888888888888888,1
2000000,88,45,11,6,0,1,48,30,81.5,66.66666666666666,0
1000000,85,0,6,2,0,0,4,30,9.0,5.555555555555555,0
1000000,36,44,11,2,0,1,43,30,80.5,59.72222222222222,1
5000000,3,41,18,1,1,1,14,100,88.0,19.444444444444446,1
500000,39,48,11,1,1,1,54,70,84.5,75.0,0
5000000,16,5,12,6,1,1,14,100,43.0,19.444444444444446,1
5000000,5,7,14,2,1,1,37,100,48.0,51.388888888888886,1
300000,27,12,14,5,1,0,26,70,33.0,36.11111111111111,0
2000000,58,10,4,3,0,1,50,30,36.0,69.44444444444444,1
1000000,37,30,16,4,0,0,32,30,54.0,44.44444444444444,1
300000,17,33,15,3,1,0,62,70,55.5,86.11111111111111,0
1000000,85,1,15,3,0,0,61,30,23.5,84.72222222222221,0
300000,7,29,12,5,1,1,48,70,67.0,66.66666666666666,1
1000000,90,38,4,1,1,1,37,70,64.0,51.388888888888886,1
1000000,39,26,8,6,1,1,31,70,58.0,43.05555555555556,1
5000000,42,9,15,5,0,1,56,30,51.5,77.77777777777779,0
200000,65,13,20,6,0,1,7,0,63.0,9.722222222222223,0
2000000,66,41,16,3,1,0,35,70,65.0,48.61111111111111,0
200000,31,45,5,6,1,1,31,40,72.5,43.05555555555556,0
1000000,63,3,13,1,1,0,68,70,22.5,94.44444444444444,0
2000000,67,13,13,6,0,0,35,30,32.5,48.61111111111111,1
2000000,60,38,13,6,0,0,67,30,57.5,93.05555555555556,1
2000000,0,19,13,5,0,1,4,60,58.5,5.555555555555555,1
500000,49,43,17,3,0,1,33,30,88.5,45.83333333333333,1
100000,10,19,8,1,0,1,1,30,51.0,1.3888888888888888,1
750000,8,46,9,2,1,0,26,100,59.5,36.11111111111111,1
500000,41,34,5,3,1,1,24,70,61.5,33.33333333333333,1
2000000,68,23,16,6,1,1,70,70,67.0,97.22222222222221,1
5000000,62,30,5,4,0,0,69,30,37.5,95.83333333333334,0
2000000,8,12,19,4,1,0,44,100,40.5,61.111111111111114,0
200000,6,47,18,3,0,1,12,30,94.0,16.666666666666664,1
100000,2,28,3,5,1,0,55,70,32.5,76.38888888888889,1
750000,21,31,20,5,0,0,41,60,61.0,56.94444444444444,1
5000000,44,48,19,6,0,1,42,30,96.5,58.333333333333336,1
750000,70,38,18,6,1,1,70,70,85.0,97.22222222222221,1
200000,78,5,5,1,1,1,12,40,32.5,16.666666666666664,0
2000000,21,4,19,1,0,0,47,60,32.5,65.27777777777779,0
500000,80,5,9,6,0,1,46,30,38.5,63.888888888888886,0
750000,76,35,0,5,0,0,54,30,35.0,75.0,0
2000000,46,39,3,6,0,0,13,30,43.5,18.055555555555554,1
100000,20,13,18,2,0,1,46,30,60.0,63.888888888888886,0
2000000,54,22,3,1,0,0,62,30,26.5,86.11111111111111,1
300000,56,33,16,1,0,1,70,0,77.0,97.22222222222221,0
500000,68,30,14,5,0,1,52,30,71.0,72.22222222222221,0
1000000,64,32,14,5,0,0,2,30,53.0,2.7777777777777777,1
300000,46,9,10,6,0,1,39,0,44.0,54.166666666666664,0
300000,63,19,5,3,1,0,69,40,26.5,95.83333333333334,1
100000,11,14,15,2,1,0,56,70,36.5,77.77777777777779,0
5000000,20,2,2,2,1,0,28,100,5.0,38.88888888888889,0
500000,19,42,5,1,0,1,58,60,69.5,80.55555555555556,0
5000000,2,32,13,1,1,0,42,100,51.5,58.333333333333336,1
200000,52,22,1,2,1,1,17,40,43.5,23.61111111111111,0
750000,48,38,3,2,0,1,1,30,62.5,1.3888888888888888,1
2000000,35,47,9,6,1,1,30,70,80.5,41.66666666666667,1
500000,78,2,9,3,0,1,55,30,35.5,76.38888888888889,0
1000000,69,44,1,3,0,1,58,30,65.5,80.55555555555556,0
300000,54,12,13,5,0,1,38,0,51.5,52.77777777777778,0
500000,66,19,8,3,1,1,15,70,51.0,20.833333333333336,1
1000000,87,41,6,1,0,0,33,30,50.0,45.83333333333333,1
750000,57,37,4,1,0,0,59,30,43.0,81.94444444444444,0
5000000,53,48,14,1,1,1,49,70,89.0,68.05555555555556,0
2000000,17,1,13,6,0,1,42,60,40.5,58.333333333333336,1
2000000,89,46,17,4,0,1,2,30,91.5,2.7777777777777777,1
1000000,76,47,10,2,1,1,5,70,82.0,6.944444444444445,1
1000000,31,13,6,3,1,0,22,70,22.0,30.555555555555557,0
300000,90,14,14,2,0,1,3,0,55.0,4.166666666666666,0
750000,20,48,17,3,0,1,2,60,93.5,2.7777777777777777,1
2000000,23,36,10,3,0,0,41,60,51.0,56.94444444444444,1
1000000,84,31,7,1,0,0,21,30,41.5,29.166666666666668,1
5000000,23,50,3,2,0,1,48,60,74.5,66.66666666666666,1
500000,76,42,10,1,0,1,20,30,77.0,27.77777777777778,1
100000,58,8,8,5,1,1,32,40,40.0,44.44444444444444,0
300000,87,42,3,4,1,1,38,40,66.5,52.77777777777778,1
500000,5,23,19,3,1,0,66,100,51.5,91.66666666666666,0
100000,31,18,9,6,0,1,37,0,51.5,51.388888888888886,0
300000,42,32,19,1,0,1,47,0,80.5,65.27777777777779,0
500000,67,17,0,2,0,1,56,30,37.0,77.77777777777779,0
5000000,66,12,15,3,1,1,62,70,54.5,86.11111111111111,1
100000,77,39,8,1,0,0,22,0,51.0,30.555555555555557,0
200000,86,12,8,3,1,0,55,40,24.0,76.38888888888889,0
1000000,40,2,12,1,0,0,66,30,20.0,91.66666666666666,0
100000,50,46,19,6,1,0,50,40,74.5,69.44444444444444,0
750000,67,25,7,4,0,0,33,30,35.5,45.83333333333333,1
200000,89,26,6,1,0,1,53,0,55.0,73.61111111111111,0
750000,49,26,5,5,1,0,50,70,33.5,69.44444444444444,1
300000,85,34,18,2,1,0,54,40,61.0,75.0,0
5000000,59,17,0,3,0,1,16,30,37.0,22.22222222222222,0
200000,25,5,17,1,1,1,4,70,50.5,5.555555555555555,1
2000000,37,8,19,4,0,1,30,30,56.5,41.66666666666667,0
1000000,35,24,19,1,0,0,50,30,52.5,69.44444444444444,1
100000,86,33,16,6,1,0,30,40,57.0,41.66666666666667,1
200000,16,8,2,4,1,1,69,70,31.0,95.83333333333334,0
300000,11,33,3,2,0,0,1,30,37.5,1.3888888888888888,1
5000000,80,31,2,1,0,1,29,30,54.0,40.27777777777778,0
1000000,42,21,16,1,0,0,49,30,45.0,68.05555555555556,0
300000,5,0,20,5,0,1,72,30,50.0,100.0,0
300000,14,26,5,1,1,0,23,70,33.5,31.944444444444443,1
5000000,48,46,9,2,0,1,28,30,79.5,38.88888888888889,0
750000,44,20,10,3,0,1,6,30,55.0,8.333333333333332,1
1000000,18,7,4,6,1,0,34,100,13.0,47.22222222222222,1
1000000,31,29,0,2,0,0,21,30,28.999999999999996,29.166666666666668,0
500000,33,20,4,3,0,0,18,30,26.0,25.0,1
1000000,12,49,0,4,1,1,35,100,69.0,48.61111111111111,1
500000,12,35,9,2,1,0,24,100,48.5,33.33333333333333,1
750000,49,34,18,2,1,0,44,70,61.0,61.111111111111114,1
500000,51,39,6,3,1,1,21,70,68.0,29.166666666666668,1
100000,63,3,5,6,1,1,17,40,30.5,23.61111111111111,0
500000,81,50,14,2,1,0,19,70,71.0,26.38888888888889,1
100000,54,44,4,4,0,1,51,0,70.0,70.83333333333334,0
300000,15,38,1,2,1,0,69,70,39.5,95.83333333333334,1
200000,6,8,19,3,0,1,62,30,56.5,86.11111111111111,0
1000000,31,43,12,5,1,1,21,70,81.0,29.166666666666668,0
500000,27,8,2,3,0,1,56,60,31.0,77.77777777777779,0
100000,48,14,8,1,1,0,43,40,26.0,59.72222222222222,1
750000,63,19,13,1,1,1,2,70,58.5,2.7777777777777777,1
300000,22,42,2,2,1,0,24,70,45.0,33.33333333333333,0
100000,53,28,19,5,0,1,53,0,76.5,73.61111111111111,0
500000,58,32,0,1,0,1,21,30,52.0,29.166666666666668,0
750000,90,19,13,6,1,0,9,70,38.5,12.5,1
2000000,89,30,0,6,0,1,19,30,50.0,26.38888888888889,0
2000000,57,2,17,6,1,1,60,70,47.5,83.33333333333334,1
500000,31,3,5,2,0,0,8,30,10.5,11.11111111111111,0
750000,49,5,6,5,1,0,60,70,14.0,83.33333333333334,1
500000,42,47,20,6,1,0,71,70,77.0,98.61111111111111,1
1000000,39,49,1,6,1,0,7,70,50.5,9.722222222222223,0
1000000,77,24,11,4,0,1,21,30,60.5,29.166666666666668,0
2000000,66,32,14,6,1,1,62,70,73.0,86.11111111111111,1
200000,23,14,19,4,0,0,8,30,42.5,11.11111111111111,0
100000,46,17,15,6,0,1,68,0,59.5,94.44444444444444,0
100000,27,31,12,1,1,1,70,70,69.0,97.22222222222221,0
1000000,35,16,9,4,0,0,32,30,29.5,44.44444444444444,1
1000000,27,9,16,5,1,0,45,100,33.0,62.5,1
2000000,63,12,6,2,0,0,23,30,21.0,31.944444444444443,1
750000,78,42,1,6,0,1,7,30,63.5,9.722222222222223,0
100000,79,36,9,3,0,0,55,0,49.5,76.38888888888889,0
100000,74,1,10,1,1,0,22,40,16.0,30.555555555555557,0
300000,15,40,10,3,1,1,32,70,75.0,44.44444444444444,0
750000,72,13,16,6,1,0,58,70,37.0,80.55555555555556,1
750000,85,41,3,5,1,1,66,70,65.5,91.66666666666666,0
750000,26,46,14,2,1,0,37,100,67.0,51.388888888888886,1
500000,80,34,2,5,1,0,3,70,37.0,4.166666666666666,1
1000000,41,22,10,2,0,1,28,30,57.0,38.88888888888889,1
5000000,37,13,9,3,0,1,44,30,46.5,61.111111111111114,0
1000000,38,37,8,4,0,0,65,30,49.0,90.27777777777779,0
750000,76,19,6,3,0,1,0,30,48.0,0.0,1
5000000,88,7,3,1,1,1,44,70,31.5,61.111111111111114,1
1000000,53,30,9,4,0,0,46,30,43.5,63.888888888888886,0
5000000,65,41,1,6,0,1,12,30,62.5,16.666666666666664,0
100000,29,8,6,5,1,1,63,70,37.0,87.5,1
300000,62,14,8,3,0,1,13,0,46.0,18.055555555555554,0
500000,32,18,0,1,0,0,72,30,18.0,100.0,0
300000,48,49,20,2,1,1,1,40,99.0,1.3888888888888888,1
2000000,73,44,19,4,0,0,35,30,72.5,48.61111111111111,1
300000,76,9,1,5,0,1,61,0,30.5,84.72222222222221,0
2000000,28,48,14,5,0,0,53,60,69.0,73.61111111111111,1
300000,90,7,7,5,0,1,17,0,37.5,23.61111111111111,0
100000,54,21,19,5,1,0,61,40,49.5,84.72222222222221,0
1000000,89,44,11,2,1,1,33,70,80.5,45.83333333333333,0
300000,37,27,7,6,1,0,36,40,37.5,50.0,1
300000,22,15,8,5,1,0,60,70,27.0,83.33333333333334,0
200000,56,30,3,4,0,1,3,0,54.5,4.166666666666666,0
200000,89,21,3,3,1,0,56,40,25.5,77.77777777777779,1
1000000,69,38,17,6,0,0,10,30,63.5,13.88888888888889,1
750000,68,48,8,1,1,1,61,70,80.0,84.72222222222221,1
500000,72,0,17,5,1,0,45,70,25.5,62.5,1
750000,69,35,14,4,0,1,70,30,76.0,97.22222222222221,1
100000,76,23,19,3,0,0,48,0,51.5,66.66666666666666,0
500000,8,0,0,5,1,0,71,100,0.0,98.61111111111111,0
5000000,86,7,13,1,0,0,51,30,26.5,70.83333333333334,0
1000000,62,5,8,1,1,1,70,70,37.0,97.22222222222221,0
750000,24,17,14,4,0,1,39,60,58.0,54.166666666666664,1
2000000,26,6,15,4,1,1,1,100,48.5,1.3888888888888888,1
2000000,68,50,2,5,0,1,46,30,73.0,63.888888888888886,0
750000,29,2,12,5,0,0,22,60,20.0,30.555555555555557,0
5000000,31,10,13,4,0,1,46,30,49.5,63.888888888888886,1
2000000,21,23,9,2,1,1,63,100,56.5,87.5,1
500000,24,29,8,3,1,1,49,100,61.0,68.05555555555556,0
100000,54,9,18,3,1,1,24,40,56.0,33.33333333333333,0
300000,24,40,14,4,0,0,68,30,61.0,94.44444444444444,1
1000000,69,13,0,6,0,1,48,30,33.0,66.66666666666666,0
500000,11,39,9,4,1,0,72,100,52.5,100.0,0
1000000,26,41,17,2,1,1,57,100,86.5,79.16666666666666,0
2000000,18,42,8,5,0,0,30,60,54.0,41.66666666666667,0
300000,37,44,1,5,1,1,21,40,65.5,29.166666666666668,0
1000000,15,14,16,3,1,0,26,100,38.0,36.11111111111111,1
750000,44,9,17,6,0,1,70,30,54.5,97.22222222222221,0
5000000,17,35,16,1,0,0,54,60,59.0,75.0,0
200000,43,24,8,2,1,1,18,40,56.0,25.0,1
5000000,12,12,3,4,1,1,35,100,36.5,48.61111111111111,0
300000,52,8,16,3,0,0,50,0,32.0,69.44444444444444,0
750000,58,7,19,2,0,0,52,30,35.5,72.22222222222221,0
300000,48,43,4,3,1,0,25,40,49.0,34.72222222222222,0
100000,20,18,3,6,1,1,46,70,42.5,63.888888888888886,0
100000,1,32,16,5,0,0,70,30,56.0,97.22222222222221,1
500000,64,5,20,6,1,1,45,70,55.0,62.5,0
750000,18,19,1,1,1,0,24,100,20.5,33.33333333333333,1
750000,32,38,17,5,1,0,14,70,63.5,19.444444444444446,1
300000,66,32,11,3,0,0,17,0,48.5,23.61111111111111,0
2000000,27,38,6,6,0,1,9,60,67.0,12.5,0
5000000,1,18,17,3,1,1,48,100,63.5,66.66666666666666,1
2000000,0,33,1,4,0,0,10,60,34.5,13.88888888888889,1
1000000,16,17,19,6,1,0,42,100,45.5,58.333333333333336,1
5000000,43,50,10,4,0,1,68,30,85.0,94.44444444444444,0
750000,14,29,2,6,1,0,2,100,31.999999999999996,2.7777777777777777,1
1000000,88,1,17,3,0,1,36,30,46.5,50.0,0
5000000,85,38,3,4,0,1,61,30,62.5,84.72222222222221,0
100000,54,34,3,5,0,0,47,0,38.5,65.27777777777779,0
500000,22,15,1,4,1,0,18,100,16.5,25.0,1
100000,64,48,15,5,1,1,28,40,90.5,38.88888888888889,1
750000,72,2,17,6,1,1,31,70,47.5,43.05555555555556,1
2000000,0,14,15,2,0,1,34,60,56.5,47.22222222222222,1
1000000,49,0,4,5,1,1,26,70,26.0,36.11111111111111,0
500000,21,28,0,2,0,0,63,60,28.000000000000004,87.5,0
500000,75,12,7,3,1,0,71,70,22.5,98.61111111111111,1
2000000,36,21,5,5,0,1,39,30,48.5,54.166666666666664,0
5000000,67,44,11,3,0,1,18,30,80.5,25.0,1
300000,78,21,3,5,0,1,68,0,45.5,94.44444444444444,0
100000,33,22,6,5,0,0,18,0,31.0,25.0,0
300000,27,32,0,1,0,0,69,30,32.0,95.83333333333334,0
1000000,3,10,13,4,1,0,70,100,29.5,97.22222222222221,1
2000000,10,48,4,3,1,0,62,100,54.0,86.11111111111111,1
500000,54,27,3,6,1,0,60,70,31.5,83.33333333333334,1
200000,61,1,9,3,0,0,32,0,14.5,44.44444444444444,0
100000,46,11,1,4,0,0,26,0,12.5,36.11111111111111,0
